Year,maxT much above normal,maxT much below normal,minT much above normal,minT much below normal,precip much above normal,precip much below normal,Season,Region
1920,0.0,26.0,0.0,14.7,13.6,5.6,Summer,Southeast
1921,11.9,0.7,8.1,7.4,2.8,14.2,Summer,Southeast
1922,0.0,12.8,0.0,9.3,9.3,6.3,Summer,Southeast
1923,0.8,25.3,0.0,0.3,15.8,9.0,Summer,Southeast
1924,14.7,1.9,1.5,2.7,12.2,6.2,Summer,Southeast
1925,53.4,2.8,2.8,1.3,0.0,33.7,Summer,Southeast
1926,0.7,0.9,0.0,1.8,11.4,2.7,Summer,Southeast
1927,5.8,36.5,0.2,32.6,5.9,0.0,Summer,Southeast
1928,0.1,0.7,1.8,2.5,25.2,0.0,Summer,Southeast
1929,0.3,12.8,0.0,45.2,6.2,3.1,Summer,Southeast
1930,24.3,10.3,0.0,43.7,0.0,31.0,Summer,Southeast
1931,27.0,0.2,0.2,6.1,2.7,21.6,Summer,Southeast
1932,18.5,0.0,14.5,0.0,11.9,8.4,Summer,Southeast
1933,0.5,4.0,0.1,3.1,2.7,2.7,Summer,Southeast
1934,11.7,2.9,54.7,0.2,5.5,0.0,Summer,Southeast
1935,1.2,0.4,0.0,1.6,5.8,0.0,Summer,Southeast
1936,31.4,6.6,1.4,0.2,0.0,14.4,Summer,Southeast
1937,2.4,0.2,2.0,1.2,17.1,3.0,Summer,Southeast
1938,0.0,1.1,0.0,11.8,2.6,2.8,Summer,Southeast
1939,0.5,4.9,3.8,0.6,25.1,0.0,Summer,Southeast
1940,0.0,3.2,0.1,0.3,5.5,2.7,Summer,Southeast
1941,0.4,0.0,11.4,0.0,19.8,0.0,Summer,Southeast
1942,7.0,0.1,4.2,0.0,7.9,0.0,Summer,Southeast
1943,50.3,0.0,26.4,1.2,6.0,22.6,Summer,Southeast
1944,4.1,0.0,0.0,1.0,3.0,8.5,Summer,Southeast
1945,0.0,0.4,0.0,0.4,11.0,2.6,Summer,Southeast
1946,0.0,28.3,0.0,36.4,3.1,6.2,Summer,Southeast
1947,0.0,15.6,0.0,38.3,5.6,2.8,Summer,Southeast
1948,0.8,0.0,0.0,0.7,0.0,6.0,Summer,Southeast
1949,0.0,0.8,16.9,0.1,27.8,0.0,Summer,Southeast
1950,0.5,6.7,0.0,24.0,16.0,2.8,Summer,Southeast
1951,25.5,0.0,0.6,0.0,0.0,14.1,Summer,Southeast
1952,82.6,0.0,14.0,0.0,2.7,13.7,Summer,Southeast
1953,15.7,0.7,0.3,0.0,2.8,24.5,Summer,Southeast
1954,77.8,0.0,0.6,4.2,0.0,48.2,Summer,Southeast
1955,0.0,0.0,0.0,32.5,0.0,11.2,Summer,Southeast
1956,2.5,0.0,0.0,22.8,0.0,11.7,Summer,Southeast
1957,0.1,0.6,0.0,1.5,2.9,8.1,Summer,Southeast
1958,0.7,0.8,0.6,0.0,8.4,3.0,Summer,Southeast
